tenure_months,tenure_years,tenure_bucket,tenure_quartile,monthly_charges,total_charges,avg_monthly_spend,charge_per_service,estimated_clv,monthly_charge_quartile,total_services,service_diversity,premium_service_count,risk_score,risk_factors_count,tenure_contract_interaction,gender_male,is_senior,has_partner,has_dependents,has_family,senior_alone,phone_service_flag,multiple_lines_flag,has_internet,internet_fiber,internet_dsl,online_security_flag,online_backup_flag,device_protection_flag,tech_support_flag,streaming_tv_flag,streaming_movies_flag,has_security_bundle,has_support_bundle,has_streaming_bundle,contract_length,is_month_to_month,has_long_contract,payment_electronic_check,payment_mailed_check,payment_bank_transfer,payment_credit_card,has_auto_payment,paperless_billing_flag,is_new_customer,is_established,is_loyal,is_high_value,spending_trend,risk_mtm,risk_new,risk_echeck,risk_no_support,risk_high_charge,risk_fiber,high_risk_flag,new_high_value,mtm_high_value,senior_mtm,fiber_no_support,churn,customer_id
10,0.8333333333333334,2,2,55.2,528.35,52.835,13.8,1190.75,2,4,0.4444444444444444,2,3,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,1,4190-MFLUW
21,1.75,3,2,90.05,1862.9,88.70952380952382,18.009999999999998,2943.5,4,5,0.5555555555555556,3,6,3,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,-1,1,0,1,0,0,1,1,0,1,0,0,0,4183-MYFRB
1,0.08333333333333333,1,1,39.65,39.65,39.65,13.216666666666667,515.4499999999999,2,3,0.3333333333333333,2,7,3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,8779-QRDMV
12,1.0,2,2,19.8,202.25,16.854166666666668,19.8,439.85,1,1,0.1111111111111111,0,1,1,12,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1680-VDCWW
1,0.08333333333333333,1,1,20.15,20.15,20.15,20.15,261.95,1,1,0.1111111111111111,0,6,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1066-JKSGK
58,4.833333333333333,5,4,59.9,3505.1,60.432758620689654,11.98,4223.9,2,5,0.5555555555555556,2,0,0,116,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,2,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3638-WEABW
49,4.083333333333333,5,3,59.6,2970.3,60.61836734693878,11.92,3685.5,2,5,0.5555555555555556,3,3,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6322-HRPFA
30,2.5,4,3,55.3,1530.6,51.019999999999996,13.825,2194.2,2,4,0.4444444444444444,2,3,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,6865-JZNKO
47,3.9166666666666665,4,3,99.35,4749.15,101.04574468085106,16.558333333333334,5941.349999999999,4,6,0.6666666666666666,3,6,3,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,6467-CHFZW
1,0.08333333333333333,1,1,30.2,30.2,30.2,15.1,392.59999999999997,1,2,0.2222222222222222,1,7,3,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,8665-UTDHZ
72,6.0,5,4,90.25,6369.45,88.46458333333334,10.027777777777779,7452.45,4,9,1.0,6,0,0,144,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,0,1,0,0,0,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,5248-YGIJN
17,1.4166666666666667,3,2,64.7,1093.1,64.3,16.175,1869.5,2,4,0.4444444444444444,2,4,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,-1,1,0,0,1,0,0,0,0,0,0,0,1,8773-HHUOZ
71,5.916666666666667,5,4,96.35,6766.95,95.30915492957746,13.764285714285714,7923.15,4,7,0.7777777777777778,4,1,1,142,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,2,0,1,0,0,0,1,1,1,0,1,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,3841-NFECX
2,0.16666666666666666,1,1,95.5,181.65,90.825,19.1,1327.65,4,5,0.5555555555555556,3,6,3,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,-1,1,1,0,0,0,1,1,1,1,1,0,0,4929-XIHVW
27,2.25,4,2,66.15,1874.45,69.42407407407407,11.025,2668.25,2,6,0.6666666666666666,4,0,0,27,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6827-IEAUQ
1,0.08333333333333333,1,1,20.2,20.2,20.2,20.2,262.59999999999997,1,1,0.1111111111111111,0,6,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,7310-EGVHZ
1,0.08333333333333333,1,1,45.25,45.25,45.25,22.625,588.25,2,2,0.2222222222222222,0,6,3,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,3413-BMNZE
72,6.0,5,4,99.9,7251.7,100.71805555555555,14.271428571428572,8450.5,4,7,0.7777777777777778,4,1,1,144,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,2,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6234-RAAPL
5,0.4166666666666667,1,1,69.7,316.9,63.379999999999995,34.85,1153.3000000000002,2,2,0.2222222222222222,0,10,6,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,-1,1,1,1,1,1,1,1,0,0,0,1,1,6047-YHPVI
46,3.8333333333333335,4,3,74.8,3548.3,77.13695652173914,24.933333333333334,4445.9,3,3,0.3333333333333333,1,4,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,6572-ADKRS
34,2.8333333333333335,4,3,106.35,3549.25,104.38970588235294,15.192857142857141,4825.45,4,7,0.7777777777777778,4,6,3,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,-1,1,0,1,0,0,1,1,0,1,0,0,1,5380-WJKOV
11,0.9166666666666666,2,2,97.85,1105.4,100.4909090909091,16.308333333333334,2279.6,4,6,0.6666666666666666,3,4,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,8168-UQWWF
10,0.8333333333333334,2,2,49.55,475.7,47.57,16.516666666666666,1070.3,2,3,0.3333333333333333,1,0,0,10,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,8865-TNMNX
70,5.833333333333333,5,4,69.2,4872.35,69.605,11.533333333333333,5702.75,2,6,0.6666666666666666,3,0,0,140,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,2,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9489-DEDVP
17,1.4166666666666667,3,2,20.75,418.25,24.602941176470587,20.75,667.25,1,1,0.1111111111111111,0,1,1,17,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9867-JCZSP
63,5.25,5,4,79.85,4861.45,77.16587301587302,9.98125,5819.65,3,8,0.8888888888888888,5,0,0,126,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,2,0,1,0,0,0,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4671-VJLCL
13,1.0833333333333333,3,2,76.2,981.45,75.49615384615385,10.885714285714286,1895.8500000000001,3,7,0.7777777777777778,4,5,2,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,-1,1,0,1,0,0,0,1,0,1,0,0,0,4080-IIARD
49,4.083333333333333,5,3,84.5,3906.7,79.72857142857143,21.125,4920.7,3,4,0.4444444444444444,1,7,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,-1,1,0,1,1,0,1,1,0,1,0,1,0,3714-NTNFO
2,0.16666666666666666,1,1,49.25,97.0,48.5,16.416666666666668,688.0,2,3,0.3333333333333333,1,5,2,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-1,1,1,0,0,0,0,1,0,0,0,0,0,5948-UJZLF
2,0.16666666666666666,1,1,80.65,144.15,72.075,26.883333333333336,1111.95,3,3,0.3333333333333333,1,10,6,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,7760-OYPDY
52,4.333333333333333,5,3,79.75,4217.8,81.11153846153846,11.392857142857142,5174.8,3,7,0.7777777777777778,4,0,0,104,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,2,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7639-LIAYI
69,5.75,5,4,64.15,4254.1,61.6536231884058,10.691666666666668,5023.900000000001,2,6,0.6666666666666666,3,0,0,138,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,2,0,1,0,0,0,1,1,1,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2954-PIBKO
43,3.5833333333333335,4,3,90.25,3838.75,89.27325581395348,18.05,4921.75,4,5,0.5555555555555556,2,6,3,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,-1,1,0,1,0,0,1,1,0,1,1,1,0,8012-SOUDQ
15,1.25,3,2,99.1,1426.4,95.09333333333333,16.516666666666666,2615.6,4,6,0.6666666666666666,4,4,2,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,-1,1,0,0,0,0,1,0,0,1,0,1,1,9420-LOJKX
25,2.0833333333333335,4,2,69.5,1752.65,70.10600000000001,11.583333333333334,2586.65,2,6,0.6666666666666666,3,3,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6575-SUVOI
8,0.6666666666666666,2,1,80.65,633.3,79.1625,20.1625,1601.1,3,4,0.4444444444444444,1,4,2,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,-1,1,0,0,0,0,1,0,0,1,1,1,1,7495-OOKFY
60,5.0,5,4,74.85,4456.35,74.27250000000001,10.692857142857141,5354.55,3,7,0.7777777777777778,5,0,0,60,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4667-QONEA
18,1.5,3,2,95.45,1752.55,97.36388888888888,19.09,2897.95,4,5,0.5555555555555556,2,7,4,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1658-BYGOY
63,5.25,5,4,99.65,6311.2,100.17777777777778,16.608333333333334,7507.0,4,6,0.6666666666666666,3,1,1,63,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,8769-KKTPH
66,5.5,5,4,108.45,7076.35,107.21742424242424,13.55625,8377.75,4,8,0.8888888888888888,5,3,2,66,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,-1,0,0,1,0,0,1,0,0,0,0,0,0,5067-XJQFU
34,2.8333333333333335,4,3,24.95,894.3,26.302941176470586,12.475,1193.6999999999998,1,2,0.2222222222222222,0,1,1,68,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3957-SQXML
72,6.0,5,4,107.5,7853.7,109.07916666666667,15.357142857142858,9143.7,4,7,0.7777777777777778,4,1,1,144,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,2,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5954-BDFSG
47,3.9166666666666665,4,3,100.5,4707.1,100.15106382978725,16.75,5913.1,4,6,0.6666666666666666,3,6,3,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,-1,1,0,1,0,0,1,1,0,1,0,0,0,0434-CSFON
60,5.0,5,4,89.9,5450.7,90.845,17.98,6529.5,4,5,0.5555555555555556,2,4,2,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1215-FIGMP
72,6.0,5,4,42.1,2962.0,41.138888888888886,10.525,3467.2,2,4,0.4444444444444444,3,0,0,144,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,2,0,1,0,0,1,0,1,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0526-SXDJP
18,1.5,3,2,54.4,957.1,53.172222222222224,13.6,1609.9,2,4,0.4444444444444444,2,0,0,18,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0557-ASKVU
9,0.75,2,1,94.4,857.25,95.25,18.880000000000003,1990.0500000000002,4,5,0.5555555555555556,2,7,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,5698-BQJOH
3,0.25,1,1,75.3,244.1,81.36666666666666,12.549999999999999,1147.6999999999998,3,6,0.6666666666666666,4,7,3,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,5122-CYFXA
47,3.9166666666666665,4,3,78.9,3650.35,77.66702127659575,19.725,4597.15,3,4,0.4444444444444444,1,3,2,47,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,-1,0,0,1,0,0,1,0,0,0,0,1,0,8627-ZYGSZ
31,2.5833333333333335,4,3,79.2,2497.2,80.55483870967741,11.314285714285715,3447.6,3,7,0.7777777777777778,5,0,0,62,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,2,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3410-YOQBQ
50,4.166666666666667,5,3,20.15,930.9,18.618,20.15,1172.7,1,1,0.1111111111111111,0,1,1,100,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,1,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,3170-NMYVV
10,0.8333333333333334,2,2,79.85,887.35,88.735,19.9625,1845.55,3,4,0.4444444444444444,2,4,2,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,7410-OIEDU
1,0.08333333333333333,1,1,49.05,49.05,49.05,16.349999999999998,637.6499999999999,2,3,0.3333333333333333,1,5,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2273-QCKXA
52,4.333333333333333,5,3,20.4,1090.65,20.974038461538463,20.4,1335.45,1,1,0.1111111111111111,0,3,2,52,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0731-EBJQB
64,5.333333333333333,5,4,111.6,7099.0,110.921875,13.95,8438.2,4,8,0.8888888888888888,5,1,1,128,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2,0,1,0,0,1,0,1,1,0,1,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,1891-QRQSA
62,5.166666666666667,5,4,24.25,1424.6,22.97741935483871,12.125,1715.6,1,2,0.2222222222222222,0,1,1,124,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,1,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,8028-PNXHQ
3,0.25,1,1,64.5,177.4,59.13333333333333,12.9,951.4,2,5,0.5555555555555556,3,5,2,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,-1,1,1,0,0,0,0,1,0,0,0,0,0,5630-AHZIL
56,4.666666666666667,5,4,110.5,6139.5,109.63392857142857,13.8125,7465.5,4,8,0.8888888888888888,5,3,2,56,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,-1,0,0,1,0,0,1,0,0,0,0,0,0,2673-CXQEU
46,3.8333333333333335,4,3,55.65,2688.85,58.45326086956521,18.55,3356.6499999999996,2,3,0.3333333333333333,1,1,1,46,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6416-JNVRK
8,0.6666666666666666,2,1,54.65,482.25,60.28125,13.6625,1138.05,2,4,0.4444444444444444,2,3,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5590-ZSKRV
30,2.5,4,3,74.75,2111.3,70.37666666666668,12.458333333333334,3008.3,3,6,0.6666666666666666,4,5,2,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,-1,1,0,1,0,0,0,1,0,1,1,0,0,0191-ZHSKZ
45,3.75,4,3,25.9,1216.6,27.035555555555554,12.95,1527.3999999999999,1,2,0.2222222222222222,0,1,1,45,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3887-PBQAO
